title_target,pkg_name,title_all,description,matched
Co-botic,com.ivac.cobotic,Co-botic,"Co-botic App is your home's intelligent hardware management platform. With the Co-botic App, you can complete the convenient and fast interaction between the mobile phone and the intelligent hardware, and realized the interconnection between the smart devices.
You and the smart life, only a distance from the Co-botic App.
Linked control, easy to use
Quickly grasp the addition and operation of devices to achieve interoperability between smart devices.
Personalized customization, as you like
Set up a personalized smart scene according to your own usage habits
Device sharing, fun to pass
Sharing equipment for family and friends, sharing the fun of technology.
Enjoy Co-botic App, Love Co-botic App",True
HG Robots,com.haiereurope.hg4,HG Robots,Hoover HG Robots Official App,True
iBoto Smart,com.iboto.smart,iBoto Smart,iBoto,True
RVC 8000,com.RVC8000.Robot,RVC 8000,"App fr Ihren RVC 8000,steuern Sie ihren neuen Saugroboter bequem vom Smartphone",True
Peppermint Services,com.peppermintrobotics.serviceapp,Peppermint Services,Revolutionize Your Operations with the Peppermint Services App!,True
Homeland,com.taurus.homeland,Homeland,Program and control your robot vacuum cleaner,True
TECHNIMAX,com.technisat.android,TECHNIMAX,Control your TECHNIMAX vacuum robot,True
iGLASSBOT,com.timyerc.iglassbot,iGLASSBOT,Here is a App which can control window clean machine.,True
Robx,com.ls.robx,Robx,Robot Clean App,True
BlauBot,com.blaubot.bot,BlauBot,It's a mobile-side application that connects robot products.,True
Airbot X40,com.piceacorp.dm4pro.airbot_new,Airbot X40,"Airbot, smart living, joyful life",True
Hitachi Robot RV-X,com.hitachi.bot,Hitachi Robot RV-X,It's a mobile-side application that connects robot products.,True
RobZone Robot,com.robzoneapp.android,RobZone Robot,"Robzone, vysaje i vyt?e za vs",True
SENSOR PLUS,com.sensorplus.plus,SENSOR PLUS,The APP is a mobile applicationthat connects to SENSOR PLUS robot products.,True
TABbot,com.tab.tabbot,TABbot,"Technology and advanced robots, clean without dead corners.",True
My Winny,com.wyindustry.poolcleanerbluetoothcontrol,My Winny,A Bluetooth controller for pool cleaning robot,True
Zigma,com.eurocat.zigma,Zigma,Smart apps for floor sweepers that customize your needs!,True
BOBOT LIFE,com.zbeetles.bobot,BOBOT LIFE,Redefine Household Cleaning,True
cvROBO,com.flexitrobo,cvROBO,Flexit app for control and monitoring of robot vacuum cleaner Flexit cvROBO,True
POWERbot-S,com.mzbots.android.powerbot,POWERbot-S,Connect your robot vacuum from anywhere using the POWERbot-S App.,True
HG5,com.haiereurope.hg5,HG5,Hoover HG5 Robot Official App,True
RoboKit,com.kitfort.robot,RoboKit,Allows you to control Kitfort robots from mobile devices over Wi-Fi,True
SUBLUE ROBOT,com.sublue.robot,SUBLUE ROBOT,"Wise Life, Enjoy Life",True
NemH2O,it.centrosistemi.nemh2o,NemH2O,"NEMH2O is an innovative robot, developed by the creators of Ambrogio Robot, in order to have a completely automatic pool cleaner.
NEMH2O is autonomous 365 days a year: with NEMH20 you dont need to clean the pool or resort to a winter cover.
NEMH2O requires no power cords and can also be used without a filter (using the existing filters in each pool), he gets recharged through induction directly by itself in the water and programmed via bluetooth (software upgradeable via APP).",True
Mypoolbot,cn.bwt.poolrobot,Mypoolbot,Easily manage your pool cleaning robots with the Mypoolbot app.,True
TWOTOO ,com.irobotix.twotoo,TWOTOO,You can easily use TWOTOO to control the sweeping robot.,True
Sunseeker Robot,com.sunseeker.robot,Sunseeker Robot,"Smart lawn mower, Bluetooth remote control, Map editing, Scheduled tasks",True
Mammotion,com.agilexrobotics,Mammotion,Setting up Luba has never been so easy!,True
Automower Connect,com.husqvarna.automowerconnect,Automower Connect,Automower? Connect allows you control of your Husqvarna robotic lawnmower,True
TerraMow,com.roboterra.app,TerraMow,Take full control of your TerraMow robots with the dedicated app.,True
My Robot Wiper,it.centrosistemi.niko,My Robot Wiper,"My Robot Wiper, its easy and fun!
My Robot Wiper is specifically created for Wiper Robot customers, to let them have a useful and fun experience with their lawn mower.
EASY SETTING C easily set up all the settings directly from your smartphone. (Now available only for the model Yard L400)
HAVE FUN C drive Wiper Robot manually through your garden and play with your family and friends!
BE UPDATED C stay tuned with the latest updates and upgrade your Wiper Robot directly through your app.
** IMPORTANT **
The Update function is not available for all mower.",True
NEXMOW,com.ursrobot.nexmowapp,NEXMOW,NEXMOW is ready to be your partner!,True
Ambrogio Remote,it.centrosistemi.ambrogioremote,Ambrogio Remote,"AMBROGIO REMOTE is specifically created for Ambrogio customers, to let them have a more userfriendly and interactive experience with their robotic lawn mower.
EASY SETTING  C Easily set up all the settings directly from your smartphone.
BE UPDATE  CStay tuned with the latest updates and upgrade your Ambrogio  directly through your App. Download manuals.
HAVE FUN C Drive Tech Robot manually through your garden and play with your family and friends.
REMOTE CONTROL C For latest mower. Connect and interact with the robot every time and everywhere.  Verify location isolate and/or work on specific areas of the garden, monitor the status of the robot and receive alerts when it comes out of the garden.",True
Navimow,com.segway.mower,Navimow,"Segway Navimow is an advanced robotic mower that uses a virtual boundary, eliminating the need for complicated perimeter wiring. Easy to operate and manage, Navimow gives you more free time to do the things you love and an effortlessly impeccable lawn with every use.
With the help of Navimow app, you can:
1. Easily install and activate the device by following the detailed tutorials.
2. Create a virtual working zone for your mower. Understand your lawn area and create a corresponding map. Just remote control the mower to set up the boundary, off-limit area, and channel. Even multiple lawn areas can be managed at your fingertip.
3. Set the mowing schedule. You can either choose to use the recommended schedule auto-generated based on your preferences or select the mowing time by yourself.
4. Monitor the mower at any time. You can check the mower status, mowing progress, remote control the mower to start or stop working whenever you want.
5. Personalize features and settings. Features like the cutting height, work mode can be adjusted with just a few clicks.
Should you have any questions or suggestions, feel free to send an Email to: support-navimow@rlm.segway.com
To know more about Navimow models and technical details, please visit our website: https://navimow.segway.com",True
U Mower,com.ubtrobot.lawnmower,U Mower,"U Mower, Enjoy Smart Mowing",True
Kress Mission,com.kressrobotik.mission,Kress Mission,Your lawn at your fingertips,True
ECHO Robotics,com.echorobotics.mobileapp,ECHO Robotics,Mobile Application to control your robot,True
BWT Robotics,com.bwt.robotics,BWT Robotics,Control your BWT cleaning robots effortlessly with the BWT Robotics app.,True
Belrobotics,com.belrobotics.mobileapp,Belrobotics,Mobile Application to control your robot,True
Intelligent Mower,com.ldrobot.aws.cropper.common,Intelligent Mower,Intelligent maintenance,True
EGROBOT,com.box.android.smarthome.gcj.egrobot,EGROBOT,"Robot lawn mower:Let robot lawn mower work,enjoy your life.",True
Scythe Robotics,com.scytherobotics.takeout,Scythe Robotics,"Stay ahead of your mow with Scythe Robotics- mow, map, and monitor on the go!",True
Carbon Robotics Companion,com.carbonrobotics.companion,Carbon Robotics Companion,Mobile app for LaserWeeder,True
Belrobotics Connect,com.belrobotics.connect,Belrobotics Connect,Control your BM-850 instantaneously from anywhere.,True
Sunseeker Robot,com.sunseeker.robot,Sunseeker Robot,"Smart lawn mower, Bluetooth remote control, Map editing, Scheduled tasks",True
ANTHBOT Genie,com.anthbot.genie,ANTHBOT Genie,Plug-and-Play Smart Robot Lawn Mower.,True
Mowox,com.dayepower.MOWOXROBOT,Mowox,Application for smart grass cutting machines,True
Goatbot-GOAT BOT Lawn Mower,cn.goatbot.app,Goatbot-GOAT BOT Lawn Mower,Elevate your lawn game with Goatbot.,True
Mowap,com.bugull.summeidamowerwifi,Mowap,The Mowap APP allows you to control your  robotic lawnmower.,True
Rugged Robot,com.tts.ruggedrobot,Rugged Robot,"Control the Rugged Robot, the latest addition to the TTS floor robot family.",True
Robomow 3.0,com.robomow3.robomow,Robomow 3.0,Full control of your RK and RT robotic mower at the tip of your fingers.,True
Powerplus Mower POWDPG6010,com.varo.powerplus2.android,Powerplus Mower POWDPG6010,Easily control your robot mower from a distance with the official Powerplus app.,True
UDIRC drone,com.udirc.drone,UDIRC drone,"This flight control APP is developed by Udirc Toys Industrial Co.,Ltd.",True
Rainbow for DJI Drones,com.rainbow.drone,Rainbow for DJI Drones,An app to unlock power of your DJI Drones(Mavic Mini2/air2s etc.) with Rainbow,True
X-Hubsan 2,com.hubsan.drone,X-Hubsan 2,Flight Control SoftwareFPVMapAircraft,True
UgCS for DJI,com.ugcs.android.vsm.dji,UgCS for DJI,App to establish a connection between DJI drone and UgCS desktop ground station,True
RC FUN,com.vison.macrochip.gps.uav,RC FUN,An app we can control a quadcopter to fly with a WiFi camera module,True
Ruko Pro,com.vison.macrochip.ruko.drone.f11,Ruko Pro,An app we can control a quadcopter to fly with a WiFi camera module,True
RUKO DRONE,com.vison.macrochip.ruko.drone,RUKO DRONE,An app we can control a quadcopter to fly with a WiFi camera module,True
DroneMagic,com.dji.GSDemo.InspectionSpecialist,DroneMagic,Works with DJI Drones to easily create and automate photo or video flight plans,True
Rippton Drone,com.rippton.zywl.drone,Rippton Drone,Bait Dropping Drone,True
FJD Trion Scan,com.lidar.fjd,FJD Trion Scan,Used to connect and use FJDynamics 3D LIDAR Scanner products,True
Go Fly Drone Remote Controller,djifly.drone.gofly,Go Fly Drone Remote Controller,"Drone remote controller: Drone camera UAV fly app, Fly Go 4 Mavic Mini Air drone",True
Go Fly Drone Remote Controller,com.apponfire.android.droneapp,Go Fly Drone Remote Controller,Smart Drone Controller for 40+ Drone Models. Support app for Flying Drone Camera,True
Go Fly Drone Remote Controller,com.digitalcarkey.go.fly.drone.remote.controller.dji.phantom.mavic.air.mini.fpv,Go Fly Drone Remote Controller,"Smart remote for drone compatible 50+ models: Mavic, DJI, Mini, Phantom, FPV",True
Ameta Morpho,com.ameta.smart.drone,Ameta Morpho,Ameta Morpho makes it easy for you capture aerial photos quickly.,True
S5200 Drone,com.htself.S5200.drone,S5200 Drone,Take you the pleasure of aerial photography from different perspectives,True
Rainbow for DJI Mini3/Mini4,com.rainbow.drone.v5,Rainbow for DJI Mini3/Mini4,"Support DJI Mini4Pro/Mini3Pro,M30,Mavic 3E/3T, M4T and other industrial models.",True
Fly Go 4 App: Drone Controller,gofly.drone.djigo.droneapp,Fly Go 4 App: Drone Controller,"FPV drone simulator, Drone camera UAV performance, Airmap for drones detector",True
Fly Go for Drone models,dji.drone.go.fly.models,Fly Go for Drone models,Smart flight & camera control app for popular drone models,True
FALCONDRONE,com.vison.macrochip.falcon.drone,FALCONDRONE,Application to use the FALCON 4K drone from Multilaser.,True
Dronetag,cz.dronetag.app,Dronetag,Ensuring airspace safety for all pilots,True
DRONERESPONDERS,branded.m96aed29176e84e1e8460cb6ce37417a2.droneresponders,DRONERESPONDERS,The leading non-profit program advancing public safety UAS,True
NETBOT LS22,com.irobotix.netbot,NETBOT LS22,NETBOT LS22 APP can control your Robot wherever you are and whenever you need,True
GoDrone,nl.lvnl.godrone,GoDrone,Where can I fly with my drone,True
VDA Drone,com.vdadrone,VDA Drone,An automated drone flight inspection app for your building inspection needs,True
HK88 Drone,com.netopsun.hk88drone,HK88 Drone,Easily control your HK88 drone and experience smart GPS flight.,True
DrisitDroneApp,com.drisit.drone_app,DrisitDroneApp,An app to stream video in real-time and control a drone over the internet,True
mdCockpit 2,com.microdrones.cockpit.easyone,mdCockpit 2,Mission planner and monitoring tool for Microdrones EasyOne/EasyOne NDAA UAVs.,True
Drone Go2,com.hs.dronego,Drone Go2,Data read and write application operation of Holy Stone UAV RID equipment,True
mdCockpit,com.microdrones.cockpit,mdCockpit,Mission planner and monitoring tool for Microdrones md4-1000/md4-3000 UAVs.,True
Drone Tracker,com.deepmav.dronetracker.app,Drone Tracker,Visual tracking autonomous flight for DJI drones,True
360 Drone Booth,org.DroneBooth.app,360 Drone Booth,Revolutionizing 360 Spinner Photo Booths. Autonomous Drone Technology.,True
Drone Fly Pro: Go fly Drones,com.moniqtap.dji.drone.go.fly,Drone Fly Pro: Go fly Drones,"Drone Go Fly 4 controller, smart drone pilot app for your Drone. Go fly as pro",True
AeroGCS GREEN,com.aerogcs.aerogcsenterprise.hellodrone,AeroGCS GREEN,Agriculture spraying drone mission planning,True
M-DRONE,com.mjx.mdrone,M-DRONE,Drone control image transmission APP.,True
Drone Autonomy,com.deepmav.droneautonomy.parrot,Drone Autonomy,Autonomous drone flight for Parrot Anafi drones,True
Drone Autonomy,com.deepmav.droneautonomy.app,Drone Autonomy,Autonomous drone flight for DJI drones,True
Contixo F36,com.contixo.uav,Contixo F36,Contixo 4K Aerial Drone - Your Perfect Companion for Home and Travel Adventures!,True
4DRC GO,com.drcufo.rxdrone,4DRC GO,It mainly provides the function of connecting Drone,True
VTI 360 Skyview 2,com.xygps.rxdrone,VTI 360 Skyview 2,An interesting drone control APP,True
LH Drone,com.guanxu.technology.lh_drone,LH Drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
X-DRONE,com.xdrone.app,X-DRONE,This app is used for a set of GPS Drone flight control.,True
Drone Remote Control Prank,com.sjajnoaplikerazvoj.droneremotecontrol,Drone Remote Control Prank,Remote control all drones brands all in one Drone RC with Drone Remote Control,True
DW Drone,com.hy.dw_drone,DW Drone,DW Drone Control APP,True
Drone Remote Controller,com.drone.remote.tracker,Drone Remote Controller,"Use the APP to remote drone, receive the view from the drone and take photos",True
Drone Remote Controller,com.fly.smart.drone,Drone Remote Controller,Use your phone as a drone controller.,True
Drone Remote Controller,com.dji.connrctors,Drone Remote Controller,Use your Phone as Drone Controller.,True
Lidl Quadrocopter,com.rxdrone.normalwifi,Lidl Quadrocopter,A drone pilot app,True
Go Fly Drone Camera Controller,com.smartwidgetlabs.djidrone,Go Fly Drone Camera Controller,"Smart Drone controller app for drone models, Flycam Go Fly app for drone, fly go",True
Gravitii,com.gravitii.uav_pro,Gravitii,This app supports Gravitii drones to meet the needs of aerial photography.,True
Drone Amplified,com.droneamplified.da,Drone Amplified,Amplify the capabilities of your DJI Drone,True
Drone Controller App Micro XDU,com.appzeeinc.micro_drone_remote_control_app,Drone Controller App Micro XDU,Turn your phone into a Bluetooth Drone controller for XDU Micro Drones Fly Easy!,True
Go Fly Drones D.J.I Controller,com.alabs.flycam.drone,Go Fly Drones D.J.I Controller,Take command of the skies with our intuitive drone D.J.I remote controller,True
Fly Go 4: Drone Camera Remote,com.smartremote.djiflydrone,Fly Go 4: Drone Camera Remote,"Remote controller for drone, UAV, camera. Available for RC, FPV.Camera drone app",True
Elite Drone,com.cooingdv.elitedrone,Elite Drone,This APP uses WIFI to transmit images to control drone flight.,True
ClearSpot-Inspections with DJI,org.clearspotai.app,ClearSpot-Inspections with DJI,Perfect app for drone pilots to experience smarter & powerful flying.,True
ENAIRE Drones,es.enaire.androiddrones,ENAIRE Drones,Plan your drone flight safely with ENAIRE Drones,True
DRONE-UAV,com.lcfld.droneuav,DRONE-UAV,This is a connection and control drone APP.,True
SKY Drone Go,com.lcfld.skydronego,SKY Drone Go,The app is dedicated to SKYDroneGo series drones.,True
HF Cam,com.hfcam.rxdrone,HF Cam,Mainly provide the function of connecting drones,True
Crazyflie Drone Remote Control,org.appzeeinc.droneremotecontrol_crazyflie,Crazyflie Drone Remote Control,Control your Crazyflie drone! Intuitive FPV remote controller app for all pilots,True
Contixo Drone RX,com.contixo.rxdrone,Contixo Drone RX,We can control the quadcopter application,True
Fly Go 4 Drone Camera Control,com.apponfire.android.drone5,Fly Go 4 Drone Camera Control,"Safe & smart flight with Go Fly drone controller for 40+ drone camera, zone map",True
Aerodrone,com.lcfld.aerodrone,Aerodrone,"This is a connection and control drone APP, Dedicated to Aerodrone drones.",True
Flying MAX,com.lcfld.dronepro,Flying MAX,This is an APP that connects and controls the drone via WiFi.,True
DF Drone,com.gx_df_drone,DF Drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
Mahestan 62,com.lcfld.irdronego,Mahestan 62,"The app is dedicated to ""Mahestan 62"" series drone.",True
Arduino Drone Remote Control,com.appzeeinc.droneremotecontrolforarduinodrones,Arduino Drone Remote Control,Control Arduino drone via WIFI! Perfect Drone RC for DIY quadcopter projects,True
UGO drone,com.guanxu.technology.ugo_drone,UGO drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
Hero Drone,com.guanxu.technology.hero_drone,Hero Drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
RxDrone,com.rxmap.rxdrone,RxDrone,"Drone shooting,control",True
360 MachFlight,com.rxdrone.wififlight,360 MachFlight,It is suitable for the drone sold by our company.,True
Tello Drone Controller App,com.sjajnoaplikerazvoj.Tello_drone_remote_controller,Tello Drone Controller App,Control your Tello drone with Real-time video object detection drone controller,True
Fly EXO 2,com.flyexo.drone,Fly EXO 2,The app to fly the EXO Blackhawk drone.,True
HK55 DRONE GO,com.lwcx.hk55dronego,HK55 DRONE GO,This is a APP for the four axis aircraft control via WiFi protocol.,True
AMETA Drone,com.lwcx.ametadrone,AMETA Drone,AMETA Drone is specially designed for drone beginners,True
Raspberry PI Drone Controller,com.appzeeinc.droneremotecontrol.droneflightcontroller,Raspberry PI Drone Controller,Control Raspberry Pi drones with your phone! Drone RC & Flight Controller app,True
