title,label,description,realInstalls,score,ratings,reviews,released,lastUpdatedOn,version,released_ym
MOVAhome,1,"MOVAhome App is a professional cleaning management tool that developed specifically for MOVA robotic vacuum cleaners. Connect with your MOVA robot through MOVAhome App to remotely control and personalize the management of cleaning spaces and schedules, giving you control of your home’s floor cleaning anytime, anywhere. Unlock a variety of advanced features with ease through the MOVAhome App:



Device Information: Monitor your robot in real-time to precisely track its cleaning progress and path, work status, any malfunctions or anomalies, and the lifespan of cleaning consumables.



Remote Control: Connect with the device to remotely control the robot, set cleaning schedules, and adjust various parameters such as water flow and suction power.



Zone Selection & Cleaning Customization: Select and customize cleaning areas through an intuitive map interface, pinpointing the exact locations you wish to clean.



Scheduled Cleaning: Set up timed cleaning appointments, and the robot will start the task at the designated time and autonomously return to its charging dock upon completion.



Home Mapping: Create a personalized home map with custom room names and divided areas, and plan settings like floor material and cleaning sequence to meet the needs of your family.



No-Go Zones: Set no-go zones on your map, ensuring that the robot avoids these areas during cleaning to prevent entry into designated off-limits spaces.



Firmware Upgrades: Update your robot to the latest firmware version with a single click through OTA technology, and be among the first to experience cutting-edge features.



Voice Connection: Register and log into the app to connect with your robot, enabling compatibility with third-party voice assistant platforms for convenient voice control functions.



Contact Us

• Email: aftersales@mova-tech.com

• Website: https://global.mova-tech.com/",202514.0,3.1923077,449.0,13.0,"Jun 4, 2024",2025-12-24 00:00:00,Varies with device,2024-06
NEAT-O,1,"NEAT-O: Negative Emotions and Addiction Tools for Opioid Use Disorder\r\n\r\nPilot Version – For Approved Study Participants Only\r\n\r\nNEAT-O is a digital support program designed to help individuals with opioid use disorder (OUD) manage difficult emotions and build practical skills for daily life. This app is part of a research study being conducted by the University of Minnesota and is only available to participants who have enrolled in the study.\r\n\r\nWhy NEAT-O?\r\nDesigned for OUD + anxiety/depression – content targets the vicious cycle between mood and opioid use.\r\nEvidence-informed – built on clinically tested Vicious-Cycle CBT and supported by NIDA funding.\r\nSelf-paced, mobile-first – use anytime, anywhere, no therapist required.\r\n\r\nWhat you can do inside the app\r\nSkill Modules\r\nLearn and practise core coping skills—breathing, problem-solving, cognitive reframing, mindfulness and more—in short, interactive lessons.\r\n\r\nDaily Wellness Tracker\r\nLog mood, stress and craving in seconds; spot triggers with simple charts.\r\n\r\nPersonal Practice Journal\r\nReflect on lessons and set action plans that fit your day-to-day life.\r\n\r\nResource Library\r\nQuickly reach crisis lines, MOUD info and community supports.\r\n\r\nFavorites\r\nPin the lessons you rely on most for one-tap access.\r\n\r\nPrivacy & data\r\nAll information you share is encrypted, stored securely and used only for the approved study, exactly as described in your consent form.\r\n\r\nWho should download?\r\nOnly individuals who have received an invitation link or enrolment code from the NEAT-O study team. If you have not enrolled, the app will not function.\r\n\r\nNEAT-O is a self-guided research tool—not a medical device, therapy app or substitute for professional care. Always follow the advice of your healthcare provider.,
        ",33.0,0.0,0.0,0.0,2025-08-12 00:00:00,2025-08-12 00:00:00,,2025-08
TESLA RoboStar,1,"Imagine the latest cleaning technology in your home. The TESLA RoboStar iQ600 / iQ500 robotic vacuum cleaner is equipped with artificial intelligence that combines careful space analysis with continuous improvement of the scanning algorithm. Cleaning has never been more efficient. You will see for yourself how much time you will save for yourself.\r\n\r\nThe firmware of the robotic vacuum cleaner is continuously improved and its cleaning algorithm is optimized. If a new firmware version is available, the application will offer you the option to download the update from the Internet and install it in a robotic vacuum cleaner."",
        ",11432.0,0.0,0.0,0.0,2021-01-08 00:00:00,2022-08-25 00:00:00,,2021-01
小猫铲屎官,1,"A casual cat training game. In the game, we can adopt various cats and improve our friendship with them through interaction. Come and serve the cat owner! The goal of the game: operate reasonably and grow a cat."",
",88.0,0.0,0.0,0.0,2025-02-21 00:00:00,2025-08-02 00:00:00,,2025-02
AllyBot,1,"AllyBot is an intelligent cleaning robot with autonomous positioning and navigation capabilities. It can automatically return to charge and continue to clean, and support cross-floor tasks by elevator and flexible task scheduling. You can control the robot in real time through phone, create and start cleaning tasks remotely, manage and schedule multiple devices. Convenient operation and management of the robot can easily be realized.

· Multi-device management--Scan QR code or enter SN number to quickly add robot to manage.

· Multiple cleaning modes—There are three cleaning modes, including vacuuming, scrubbing and dust wiping, and various strengths, such as silence, standard and power, etc.

· Master robot at any time--Remotely monitor the real-time status of the robot: online/offline, working/ idle, charging, etc.

· Scenario intelligent planning-- Multi-type zoning: Never go to the forbidden area, walk around the virtual wall, work lightly in the carpet area, walk slowly in the slope area, and set various marking points such as charging and taking the elevator.

· Personalized Cleaning--Timed or quick tasks, multiple cleaning modes, and cross-floor tasks by elevator to meet different cleaning needs.

· Automatically recharge --Robot will automatically recharge when the battery is low, and automatically continue to clean after it is fully charged.

· Remote control--One-click switch to remote control mode, and control robot to move, map, clean or record planning.",409.0,,,,"Sep 29, 2022",2025-09-12 00:00:00,Varies with device,2022-09
DJI Home,1,"A must-have smartphone app for DJI users\r\n【Device Management】\r\n1. Track usage and check remaining DJI Care days. \r\n2. One-stop online after-sales service for repairs, replacements, and flyaway scenarios. \r\n3. Enhance your skills with online courses. \r\n4. Resolve issues with official guides.\r\n【Elevate Your Creation】\r\n1. Virtual Flight: Fun practice before the actual flight.\r\n2. DJI Forum: Exchange ideas and find answers to your questions.\r\n3. SkyPixel: Share your creations and experience new products.\r\n【Comprehensive Product Selection】\r\n1. Newest DJI products.\r\n2. All accessories.\r\n【Exclusive Benefits】\r\n1. Shopping rewards in the form of DJI Credit, which can be used to pay for purchases from the DJI Online Store.\r\n2. Exclusive gifts with purchase, including limited DJI merchandise for select products.\r\n3. Early notice for exclusive monthly discounts.\r\n\r\n\r\n\r\nAbout DJI\r\nSince its establishment in 2006, DJI has given the world groundbreaking innovations in drones, handheld imaging, robotics education, and much more, reshaping entire industries and improving lives. DJI works tirelessly with partners from across the globe to usher in an era of spatial intelligence beyond imagination.\r\nContact us at: www.dji.com/contact"",
",5580780.0,3.54,7133.0,390.0,2022-09-18 00:00:00,2025-12-11 00:00:00,,2022-09
robored,1,"With this App, the user can remotely control the robot. It makes programming the cleaning schedules very easy. Also, it shows the map where the robot has cleaned to show where the robot has been. There are many more features, that can be explored after installing the app.",2537.0,,,,"Mar 26, 2021",2024-11-09 00:00:00,Varies with device,2021-03
Nooie Robot,1,"Nooie Robot App Introduction:



This is a robot app under the Nooie brand.

 Live with style and ease. Nooie aims to create indispensable products that are stylish, affordable, and easy to use. Nooie Robot app lets you control your robots from anywhere, anytime.

Add and control robots in the app to make the nooie robot part of your home.",2145.0,0.0,0.0,0.0,"Nov 22, 2022",2023-08-09 00:00:00,Varies with device,2022-11
Fakir Robot,1,Connect your Robert R1 vacuum from anywhere using the Fakir robot App.,134610.0,3.5714285,424.0,3.0,2021-07-28 00:00:00,2025-11-19 00:00:00,2.3.0,2021-07
Wero M8 Max,1,"Wero, he's very smart.

Wero M8 Max Robot Vacuum Cleaner is a very ideal robot vacuum for home use. Thanks to the app:

1. You can connect to your robot vacuum cleaner and vacuum or even mop your house anytime, anywhere.

2. You can clean certain areas thanks to the room or area selection.

3. Thanks to the scheduled cleaning feature, you can plan the cleaning time in advance.

4. You can control the dust collection unit and empty the dust container without getting your hands or the environment dirty.",1329.0,,,,"Oct 18, 2021",2023-09-22 00:00:00,Varies with device,2021-10
ECOVACS PRO,1,"ECOVACS PRO App is a mobile application for connecting to ECOVACS commercial robots, supporting commercial cleaning robots such as DEEBOT PRO M1, K1 VAC, and other robot products. Through the app, you can view the robot status in real time, edit maps, schedule tasks, view robot cleaning reports, and more, to start a new commercial cleaning experience.





By connecting to ECOVACS PRO App, you can easily unlock more features:



【Convenient Deployment】



1. Multiple mapping methods.



2. Intelligent optimization of maps.



3. Path-based map editing.



4. Efficient storage across multiple platforms.



【Intelligent Remote Control】



1. Comprehensive monitoring of robot status.



2. Flexible task combinations.



3. Multi-dimensional visualization of data.



4. Convenient remote control.



5. Unified management for multiple machines and roles.



【Intelligent Scheduling】



1. Interconnection of multiple machines.



2. Data sharing.



3. Centralized intelligent scheduling resources.



4. Autonomous coordination.",17110.0,0.0,0.0,0.0,"Mar 2, 2025",2026-01-09 00:00:00,Varies with device,2025-03
Onex Robot,1,"Onex Robot is a mobile phone application of connecting the Onex cleaner robotic products, which supports the robotic customization products with WIFI function under the Onex brand. It can not only replace the traditional remote controller , but also can present more working data that cannot be displayed by the conventional remote controller. Through the APP, the user can remotely control and reserve robots for cleaning while away from home, making you to enjoy smart life anytime, anywhere.",875.0,,,,"Mar 24, 2021",2023-08-25 00:00:00,Varies with device,2021-03
아이닉,1,"Use the Ainic robot vacuum cleaner, air purifier, and home appliance conveniently with one app.



You can connect and control devices quickly and easily using the Ainic app. Check and control the status of devices such as robot vacuum cleaners and air purifiers from the outside.



[main function]

live monitoring

You can control Ainic products in real time and check their status.

Mode selection and real-time operation control

Reserved mode operation

remote control



Maintenance

You can check the replacement time of consumables used in the product.



[Supported products]

i9 robot vacuum cleaner

Ainic air purifier iAP22



[Use environment]

There may be restrictions on use depending on the environment of some mobile devices.

Android OS 4.4 or higher supported

Wifi 2.4GHz support (5GHz not supported)



[Inquiries about products and A/S]

If you call 1800-8515 customer center, we will respond kindly.",79031.0,,,,"Feb 5, 2021","Jan 7, 2025",1.0.9,2021-02
RoboKit,1,"We have released the RoboKit mobile application with which you can remotely control Kitfort robots.

On the first launch of the application, select a robot and connect it.

After connecting, you can control the robot while away from home. For example, on leaving work, go to the application and click on the Start button. You will come home to a nice clean floor.

To avoid having to press a button every time you can set a cleaning schedule for the whole week.

From the RoboKit application, you can not only start cleaning, but also change cleaning modes and instruct the robot to charge itself.

While moving the robot draws a cleaning map and displays it in the mobile application.

The RoboKit mobile app team is constantly working on improving features and functionality of the product.

In the near future we will launch more robots that can be controlled from the application and provide even more opportunities for users of our smart devices.

If you have any questions or suggestions, please write to us at info@kitfort.ru

Official website: https://kirfort.ru/",7510.0,,,,"Dec 26, 2019",,Varies with device,2019-12
RVB SmartBot,1,"RVB SmartBot is a mobile phone application of connecting the TARA cleaner robotic products, which supports the robotic customization products with WIFI function under the TARA brand. It can not only replace the traditional remote controller , but also can present more working data that cannot be displayed by the conventional remote controller. Through the APP, the user can remotely control and reserve robots for cleaning while away from home, making you to enjoy smart life anytime, anywhere.",471.0,,,,"Sep 23, 2022",,Varies with device,2022-09
Milagrow Aguabot Robot,1,"Milagrow Aguabot Robot is a mobile phone application of connecting the MILAGROW Floor washing robot products, which supports the robotic customization products with WIFI function under the MILAGROW brand. It can not only replace the traditional remote controller , but also can present more working data that cannot be displayed by the conventional remote controller. Through the APP, the user can remotely control and reserve robots for cleaning while away from home, making you to enjoy smart life anytime, anywhere.",2481.0,,,,"Feb 16, 2021",,Varies with device,2021-02
Coredy Robot,1,"You can also share Coredy smart home devices with family members, so everyone can control the devices, schedule time and set their own personal preferences for each device. You and your family will enjoy the convenience together from Coredy product.",80654.0,2.38,280.0,124.0,"Apr 15, 2019","May 23, 2024",1.2.2,2019-04
원더스 다이나킹 R9,1,"The Wonders Dynaking R6 is a robot cleaner with high-performance cleaning ability, which is a combination of high-precision radar and various sensors. It provides real-time mapping with a navigation algorithm, plans the cleaning path by itself, performs automatic cleaning, and finishes with automatic charging return.\r\n\r\n1. Real-time cleaning trajectory check\r\n2. Prohibited area setting\r\n3. Reservation cleaning\r\n4. Suction power / water spray adjustment\r\n5. Do not disturb mode setting\r\n6. Device sharing with multiple users"",",2918.0,,,,2020-03-11 00:00:00,,,2020-03
MEDION® Robots,1,"The MEDION service app is your personal device assistant to manage all your MEDION devices (mobile phones, tablets, notebooks, PCs, home appliances and electronics) and to receive supporting information.\r\n\r\nKey facts at a glance:\r\n+ Safely register your MEDION devices in your account.\r\n+ Check your MEDION device with the diagnostics function.\r\n+ In case of a hardware defect you can order a repair online.\r\n+ Even if no mistake can be diagnosed, MEDION does not leave you alone with your problem and provides you with help, such as tutorials, user solutions and answers to frequently asked questions.\r\n\r\nTo perform hardware tests, the app requires shares for some components. These are for the purpose of the test only and are only initiated by the tester or not used for other activities. In addition, you can always control, revise or extend or reduce shares given in the Android settings. For a full test it is also necessary that your device is online.\r\nBelow are the backgrounds for the necessary approvals:\r\n• Phone calls: device identification (IMEI, serial number)\r\n• Location: GPS and network test\r\n• Memory: read and write test\r\n• Audio, Microphone: Audio recording and playback\r\n• Camera, Pictures, Videos: Camera function and picture view of the test picture\r\n• Show over other apps (Overlay): Message during the test process\r\n• Change system settings: Brightness test\r\n\r\nIf the message appears in the Playstore: \""The app may not be optimized for your device,\"" this is due to a lack of landscape support. The functionality of the app is of course tuned to your MEDION device and deliberately designed for use in portrait format.\r\n\r\nThis app is powered by Servify (Service Lee Technologies Pvt. Ltd.). Servify is a technology platform that enables comprehensive device management."",",107692.0,0.0,0.0,0.0,2018-09-25 00:00:00,2025-08-30 00:00:00,,2018-09
ILIFE VAC,1,"The ILIFE VAC APP allows you to remotely control the sweeping robot through your mobile phone. Whether at home or outside, you can let the robot perform daily cleaning tasks independently.All you need to do is appreciate its efficient cleaning function and enjoy a warm and clean home environment.



1)View the real-time map, the robot builds the map in real time during the cleaning, allowing you to see its work at a glance.



2)Remote cleaning, simple operation can remotely control all the functions of the machine, cleaning anytime, anywhere.



3)Make an appointment for cleaning and set the time for daily cleaning work to meet your exclusive cleaning customization.



4)Support multiple cleaning modes to switch easily.",9841.0,2.142857,36.0,3.0,"Nov 22, 2021","Jul 3, 2023",1.0.9,2021-11
원더스 다이나킹 R6,1,"The Wonders Dynaking R6 is a robot cleaner with high-performance cleaning ability, which is a combination of high-precision radar and various sensors. It provides real-time mapping with a navigation algorithm, plans the cleaning path by itself, performs automatic cleaning, and finishes with automatic charging return.



1. Real-time cleaning trajectory check

2. Prohibited area setting

3. Reservation cleaning

4. Suction power / water spray adjustment

5. Do not disturb mode setting

6. Device sharing with multiple users",2918.0,,,,"Mar 11, 2020",,Varies with device,2020-03
SILVERCREST SSRA1,1,"App for SILVERCREST SSRA1:

     •Operate from anywhere

     •Choose cleaning modes

     •Define schedule for cleaning

     •Share robot with other users",76680.0,1.4545455,649.0,9.0,"Sep 5, 2018",,Varies with device,2018-09
씽크에어 로봇청소기,1,"Thinkway, ThinkAir RV50, RV30 are robot cleaners equipped with precision radar and the world's first ultrasonic sensor (RV50).

It provides the optimal cleaning routine through the latest algorithm and supports powerful cleaning through floor detection.



1. Real-time IP camera surroundings check (RV50)

2. Real-time cleaning status check (common)

3. Various zone setting (common)

4. Set cleaning schedule (common)

5. Suction power/water spray control (common)

6. Device sharing possible with multiple users (common)

7. Supports up to 5000PA (RV50) and 3000PA (RV30) suction power.",14543.0,0.0,0.0,0.0,"May 22, 2020",,Varies with device,2020-05
Vbot 智慧管家,1,"Vbot Smart Butler cloud smart control system, even if no one is at home, you can easily set up your cleaning tasks through the Internet. Humanized operation interface: Graphical remote operation interface allows you to easily get started, even when you are away from home Controlled at any time via smartphones and mobile devices.",284.0,,,,"Aug 30, 2019",,Varies with device,2019-08
Rowenta Robots,1,"Tired of handling everyday chores ? Your Rowenta robots application will allow you to start the cleaning of your home wherever you are. Discover several features that enhance the experience and life expectancy of your product !



CONTROL THE CLEANING OF YOUR HOME : Launch a cleaning session directly from your phone : Your robot will explore and create a map of your home*. You will have fun watching the robot cleaning and cover the entirety of your house or a specific space.



PERSONALISE THE MAP OF YOUR HOME : After the first creation of the map by your robot vacuum cleaner, assign the rooms, determine which areas your robot needs to avoid. You can even create levels to draw your entire house.** 



ADAPT YOUR CLEANING : Change the suction speed of your robot according to the type of floor you have. Let the robot recognize and avoid the objects while cleaning thanks to artificial intelligence (AI).**



EXTEND THE LIFE EXPECTANCY OF YOUR ROBOT : Thanks to the maintenance feature, get advices on how to clean and replace the components of your product. You can also buy accessories directly from your app. 



SCHEDULE YOUR NEXT CLEANING SESSION : Forgot to pass the vacuum this weekend ? Your robot can be scheduled in advance to clean your home whenever you want. 



CHECK YOUR PREVIOUS CLEANING SESSIONS : Have a look at your robot’s history to see when it’s time to start cleaning again ! You will also know the duration of all your previous sessions.



*except Explorer Series 40, 45, 50, 60

**only for specific products",666997.0,2.6666667,37531.0,7.0,,"Nov 6, 2025",9.5.1-RC1,
Kachaka,1,"With the ease of moving furniture, you can create new layouts without changing the size of the room.

With smart furniture, your room can serve as a living room, dining room, or kitchen.

Incorporate 'autonomous furniture movement' into your everyday life.







● Easy Control with Shortcuts

Set up shortcuts for the furniture you move daily through the app, enabling a one-tap movement.



● Intuitive Understanding of Kachaka's Status

Grasp an intuitive understanding of Kachaka's current position, scanned room layout, destinations, and other various information.



● Schedule Function for Habit Formation and Forgetfulness Prevention

Specify dates and days to have Kachaka bring furniture to you. Whether it's having your bag and watch brought to the entrance every morning, your reading stack by the bed every night, or snacks delivered from the kitchen to your study desk during snack time, how you utilize Kachaka is up to you.



● Other Convenient Features

Designate no-entry zones where you don’t want Kachaka to enter.

Remote control operation to move Kachaka.

Command Kachaka with voice commands without opening the app.







Requirements:

* The real robot ""Kachaka"" is required for use. Sales are only conducted within Japan.

* Compatible with Android 5.0 and later.",1434.0,0.0,0.0,0.0,"Feb 27, 2023",,Varies with device,2023-02
NETBOT LS22,1,"NETBOT LS22 APP can control your LIDAR Cleaning Robot wherever you are, the robot will carry out the cleaning working automatically according to your instructions through the APP, you just need to hail its high-efficient cleaning performances, and enjoy your clean and cosy home.



APP Intelligent Control

	Real time map: the map will be created simultaneously when robot start cleaning, you could see the working situation clearly through the APP.

	Control anywhere, anytime: easy control all functions of robot through the APP, Cleaning at anywhere, anytime

	Schedule: make the reservation for day to day cleaning working, cater for your customized cleaning requirements.

	Software update: understand the robot’s updated status through APP prompt, keep your robot with best performance.

	Multi-purpose: Not only can start, stop, pause cleaning and recharging, but support switching for multiple cleaning modes—standard, turbo, eco",35246.0,0.0,0.0,0.0,"Jan 24, 2019",,Varies with device,2019-01
GUTREND VISION,1,"""

The GUTREND VISION Robot Vacuum APP is a mobile applicationthat connects to GUTREND VISION robot products. 

Users can replace the traditional remote control with APP, remote control the robot to clean,dock to charge,etc.

Equipment control, support direction control, cleaning preferences settings,etc.

Time Schedule, clean at any time within a week.

Equipment positioning, can view the data of cleaning area and cleaning time.

Support personalized settings of device name, time calibration, deleting equipment,etc.

If you have any questions or suggestions during use, please contact us by email，Mail address: service@gutrend.com

""",3498.0,,,,"Apr 20, 2021",,Varies with device,2021-04
