pkg_name,title,developer,developer_id,category,content_rating,installs,score,ratings,reviews,released,updated,version,description,features,contains_ads,privacy_policy,size_mb,min_android_version
com.gutrendvision.robot,GUTREND VISION,Qnits,6333219992733464404,,Everyone,"1,000+",,,,"Apr 20, 2021",,Varies with device,"""
The GUTREND VISION Robot Vacuum APP is a mobile applicationthat connects to GUTREND VISION robot products. 
Users can replace the traditional remote control with APP, remote control the robot to clean,dock to charge,etc.
Equipment control, support direction control, cleaning preferences settings,etc.
Time Schedule, clean at any time within a week.
Equipment positioning, can view the data of cleaning area and cleaning time.
Support personalized settings of device name, time calibration, deleting equipment,etc.
If you have any questions or suggestions during use, please contact us by email，Mail address: service@gutrend.com
""",,False,https://drive.google.com/file/d/1HtR5jB62K9W4KLlUlxFx9jZbklF3lLTl/view?usp=sharing,,
com.milagrow.robot,Milagrow Aguabot Robot,Milagrow Robots,Milagrow+Robots,,Everyone,"1,000+",,,,"Feb 16, 2021",,Varies with device,"Milagrow Aguabot Robot is a mobile phone application of connecting the MILAGROW Floor washing robot products, which supports the robotic customization products with WIFI function under the MILAGROW brand. It can not only replace the traditional remote controller , but also can present more working data that cannot be displayed by the conventional remote controller. Through the APP, the user can remotely control and reserve robots for cleaning while away from home, making you to enjoy smart life anytime, anywhere.",,False,https://www.milagrowhumantech.com/policies/privacy-policy,,
com.ldrobot.tyetanew,ETA RAGGIO,ETA a.s.,ETA+a.s.,,Everyone,"10,000+",,,,"Sep 4, 2019",1637048117.0,V1.3.7,"ETA Raggio is the official application for robot vacuum cleaner ETA5225 with various functions.

Main features:
- control the robot with smart device
- Intelligent scheduled cleaning - choose a day, time and zone of cleaning
- up to 10 cleaning zones and restricted areas 
- detailed map of cleaning room
- distance control even outside your home
- monitor current operation and cleaning history
- up to 10 accounts to be paired with one robot
- cleaning modes: auto, zone, spot
- robot maintenance notifications (replace filters, side brush, main brush etc.)
- Errors diagnostic
- virtual remote control
- do not disturb function
- 3 levels of suction power",,False,https://intermachine.scvrobot.com/api/getUserProtocol?companyId=40,,
com.robobuddi.robot,ROBOBUDDI,"Shenzhen Ultenic Technology Co., Ltd.","Shenzhen+Ultenic+Technology+Co.,+Ltd.",,Everyone,100+,,,,"Nov 16, 2022",,Varies with device,"Smart life, smart living
1. Remote control: control home appliances from anywhere
2. Timer: set timer to perform multiple functions 
3. Device sharing: One tap to share devices among family members
4. Easy connection: easily and quickly connect App to devices",,False,https://www.cleanerhealthierspaces.co.uk/about-4,,
com.enro.EnroSmart,EnroSmartXP,Schauer Agrotronic GmbH,Schauer+Agrotronic+GmbH,,Everyone,500+,,,,,,Varies with device,"This app enables the user to control and manage the autonomous cleaning robot developed and distributed by Schauer Agrotronic GmbH.
After registering the smartphone, the user can connect to the EnRo robot.

The following functions can then be used.
* Move the robot in manual mode.
* Start/pause and stop individual routes.
* Manage daily routines. (Deactivate/activate daily routine and daily points).
* Request status information. (Sensor data, state of the robots, ...).
* Change settings. (Time, synchronisation, calibration of sensors, ...)",,False,https://www.schauer-agrotronic.com/schauer/datenschutz,,
com.roborock.smart,Roborock,Roborock,Roborock,,Everyone,"5,000,000+",4.656339,315179.0,2723.0,"May 23, 2019",1766589774.0,4.56.08,"*Feature support varies by product

Cutting-Edge Software and Hardware：
- PreciSense: Precision LIDAR navigation for efficient home cleaning.
- Sensient: A sensor matrix for safer movement around the home.
- OpticEye: Highly accurate vision-based motion control and navigation
- ReactiveAI: Artificial intelligence for recognizing and avoiding common home objects.
- VibraRise: More effective mopping through sonic vibration, with a mop that can be automatically lifted off the floor.

The Roborock app has been designed to give you total control over your Roborock robot, from home layout to cleaning schedules, cleaning strength, and more. Once you've set it up the way you want it, you can leave your robot to work. 

---- Feature Highlights ----

SERIOUSLY SMART MAPPING
After it's first run around your home, your Roborock robot will show you your floorplan and automatically divide your rooms, unlocking a world of customizations.

ADVANCED SCHEDULING
Set multiple schedules from hourly to daily to weekly, hitting different rooms with each one. You can clean the kitchen after breakfast and even the whole house when everyone's gone out.

CUSTOMIZABLE CLEANING
Tailor cleaning to the demands of each room. Crank up suction for the nursery, use more water on tiled kitchens, and lower suction when you need things quiet. The control is yours.

ZONE CLEANING
Draw up to five zones, and clean each zone up to three times, for when you want to tackle more stubborn dirt or just don't need entire rooms cleaned.

NO-GO ZONES
Use up to 10 No-Go Zones and 10 Invisible Walls to avoid thick carpets, keep robots away from delicate art, and more—all without a single hardware add-on.

MULTI-LEVEL MAPPING
Save up to four maps in your home and tailor cleaning to match each floor. Your robot will recognize the floor it's on automatically, so you can simply watch it work.

REAL-TIME VIEWING
Watch your robot move through your home, seeing the exact route it's taken and any obstacles it has avoided along the way.

Feature Compatibility:
- Multi-Level Mapping is available on [TBC] only
- Obstacle avoidance is available on S6 MaxV only
- Room specific suction scheduling is available on [TBC] only
- Room specific mopping is available on S6 MaxV and S5 Max only.

Contact Us
Customer Service Phone: 400-900-1755 (Chinese Mainland)
E-mail: service@roborock.com (Chinese Mainland), support@roborock-eu.com (EU), support@roborock.com (Other Areas)",,False,https://files.roborock.com/iot/doc/os/privacy/latest/en.html,,
com.zaco.home.robot,ZACOHome,ZACO,ZACO,,Everyone,"50,000+",0.0,0.0,0.0,"Mar 15, 2020",,Varies with device,"ZACOHome is a mobile phone application of connecting the ZACO cleaner robotic products, which supports the robotic customization products with WIFI function under the ZACO brand. It can not only replace the traditional remote controller , but also can present more working data that cannot be displayed by the conventional remote controller. Through the APP, the user can remotely control and reserve robots for cleaning while away from home, making you to enjoy smart life anytime, anywhere.",,False,https://rv-robotics.com/pages/mobile-privacy-policy,,
com.dreame.movahome,MOVAhome,Spacewalker Technology,Spacewalker+Technology,,Everyone,"100,000+",3.1923077,449.0,13.0,"Jun 4, 2024",,Varies with device,"MOVAhome App is a professional cleaning management tool that developed specifically for MOVA robotic vacuum cleaners. Connect with your MOVA robot through MOVAhome App to remotely control and personalize the management of cleaning spaces and schedules, giving you control of your home’s floor cleaning anytime, anywhere. Unlock a variety of advanced features with ease through the MOVAhome App:

Device Information: Monitor your robot in real-time to precisely track its cleaning progress and path, work status, any malfunctions or anomalies, and the lifespan of cleaning consumables.

Remote Control: Connect with the device to remotely control the robot, set cleaning schedules, and adjust various parameters such as water flow and suction power.

Zone Selection & Cleaning Customization: Select and customize cleaning areas through an intuitive map interface, pinpointing the exact locations you wish to clean.

Scheduled Cleaning: Set up timed cleaning appointments, and the robot will start the task at the designated time and autonomously return to its charging dock upon completion.

Home Mapping: Create a personalized home map with custom room names and divided areas, and plan settings like floor material and cleaning sequence to meet the needs of your family.

No-Go Zones: Set no-go zones on your map, ensuring that the robot avoids these areas during cleaning to prevent entry into designated off-limits spaces.

Firmware Upgrades: Update your robot to the latest firmware version with a single click through OTA technology, and be among the first to experience cutting-edge features.

Voice Connection: Register and log into the app to connect with your robot, enabling compatibility with third-party voice assistant platforms for convenient voice control functions.

Contact Us
• Email: aftersales@mova-tech.com
• Website: https://global.mova-tech.com/",,False,https://protocol.dreame.tech/r9407/zh/general_privacyPolicy.html,,
com.irobotix.redroad,Redroad,"Mantolo Technology (Suzhou) Co., Ltd","Mantolo+Technology+(Suzhou)+Co.,+Ltd",,Everyone,"5,000+",,,,"May 18, 2022",,Varies with device,"The Redroad app has been designed to total control your robot, from home layout to cleaning schedules, cleaning strength, and more. Once you've set it up the way you want it, you can leave your robot to work.

---- Feature Highlights ----

SERIOUSLY SMART MAPPING
After it's first run around your home, your Redroad robot will show you your floorplan and automatically divide your rooms, unlocking a world of customizations.

ADVANCED SCHEDULING
Set multiple schedules from hourly to daily to weekly, hitting different rooms with each one. 

CUSTOMIZABLE CLEANING
Users can choose ""free"" and ""intelligent"" control of the App to switch the cleaning mode at will, helping users in complex environments (with children, pets, too many rooms, and many ground items), and in different areas (kitchen, bedroom, living room, toilet, etc.) to complete different modes of cleaning.

ZONE CLEANING
Draw up to five zones when you want to tackle more stubborn dirt or just don't need the entire room cleaned.

MULTI-LEVEL MAPPING
Save up to five maps in your home and tailor cleaning to match each floor. Your robot will recognize the floor it's on automatically, so you can simply watch it work.

Contact Us
Customer Service Phone: +852-6647-3087
E-mail: info@redroadglobal.com",,False,https://sites.google.com/view/redroad/%E9%A6%96%E9%A1%B5,,
com.onex.robot,Onex Robot,ILIFE,ILIFE,,Everyone,500+,,,,"Mar 24, 2021",,Varies with device,"Onex Robot is a mobile phone application of connecting the Onex cleaner robotic products, which supports the robotic customization products with WIFI function under the Onex brand. It can not only replace the traditional remote controller , but also can present more working data that cannot be displayed by the conventional remote controller. Through the APP, the user can remotely control and reserve robots for cleaning while away from home, making you to enjoy smart life anytime, anywhere.",,False,http://www.iliferobot.com/about.aspx?TypeId=141&FId=t1:141:1,,
com.kurumi.robot,Kurumi Robot,Kurumi International,Kurumi+International,,Everyone,"5,000+",0.0,0.0,0.0,"Jan 8, 2021",,Varies with device,"The Kurumi Robot Vacuum APP is a mobile applicationthat connects to Kurumi robot products. 
Users can replace the traditional remote control with APP, remote control the robot to clean,dock to charge,etc.
Equipment control, support direction control, cleaning preferences settings,etc.
Time Schedule, clean at any time within a week.
Equipment positioning, can view the data of cleaning area and cleaning time.
Support personalized settings of device name, time calibration, deleting equipment,etc.
If you have any questions or suggestions during use, please contact us by email，Mail address:  kurumiindonesia@gmail.com",,False,https://releaseoss.hctrobot.com/html/1732007011610.html,,
jp.pfrobotics.baku.android,Kachaka,"Preferred Robotics, Inc.","Preferred+Robotics,+Inc.",,Everyone,"1,000+",0.0,0.0,0.0,"Feb 27, 2023",,Varies with device,"With the ease of moving furniture, you can create new layouts without changing the size of the room.
With smart furniture, your room can serve as a living room, dining room, or kitchen.
Incorporate 'autonomous furniture movement' into your everyday life.



● Easy Control with Shortcuts
Set up shortcuts for the furniture you move daily through the app, enabling a one-tap movement.

● Intuitive Understanding of Kachaka's Status
Grasp an intuitive understanding of Kachaka's current position, scanned room layout, destinations, and other various information.

● Schedule Function for Habit Formation and Forgetfulness Prevention
Specify dates and days to have Kachaka bring furniture to you. Whether it's having your bag and watch brought to the entrance every morning, your reading stack by the bed every night, or snacks delivered from the kitchen to your study desk during snack time, how you utilize Kachaka is up to you.

● Other Convenient Features
Designate no-entry zones where you don’t want Kachaka to enter.
Remote control operation to move Kachaka.
Command Kachaka with voice commands without opening the app.



Requirements:
* The real robot ""Kachaka"" is required for use. Sales are only conducted within Japan.
* Compatible with Android 5.0 and later.",,False,https://pfr-kachaka-goto.web.app/spapp/privacy_policy,,
com.iskyfly.washingrobot,AllyBot,深圳市智绘科技有限公司,%E6%B7%B1%E5%9C%B3%E5%B8%82%E6%99%BA%E7%BB%98%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,Everyone,100+,,,,"Sep 29, 2022",,Varies with device,"AllyBot is an intelligent cleaning robot with autonomous positioning and navigation capabilities. It can automatically return to charge and continue to clean, and support cross-floor tasks by elevator and flexible task scheduling. You can control the robot in real time through phone, create and start cleaning tasks remotely, manage and schedule multiple devices. Convenient operation and management of the robot can easily be realized.
· Multi-device management--Scan QR code or enter SN number to quickly add robot to manage.
· Multiple cleaning modes—There are three cleaning modes, including vacuuming, scrubbing and dust wiping, and various strengths, such as silence, standard and power, etc.
· Master robot at any time--Remotely monitor the real-time status of the robot: online/offline, working/ idle, charging, etc.
· Scenario intelligent planning-- Multi-type zoning: Never go to the forbidden area, walk around the virtual wall, work lightly in the carpet area, walk slowly in the slope area, and set various marking points such as charging and taking the elevator.
· Personalized Cleaning--Timed or quick tasks, multiple cleaning modes, and cross-floor tasks by elevator to meet different cleaning needs.
· Automatically recharge --Robot will automatically recharge when the battery is low, and automatically continue to clean after it is fully charged.
· Remote control--One-click switch to remote control mode, and control robot to move, map, clean or record planning.",,False,http://18.139.0.220:28080/fleetapi/about/private?lang=en_US,,
com.inxni.robot,INXNI,INXNI,INXNI,,Everyone,"1,000+",0.0,0.0,0.0,"Jul 13, 2022",,Varies with device,"The inner APP is a sweeping robot control application. You can control your sweeping robot to clean anytime, anywhere, as you like; check various status and cleaning completion status at any time.
Through the APP, you can easily unlock the following functions:
[Selected area cleaning] You can select a designated room for cleaning. After selection, only the selected room will be cleaned, and the cleaning will be performed according to the selected order.
[Zone cleaning] Select the area you want to clean on the map, and set the number of cleanings to achieve key cleaning.
[Forbidden area setting] Set the forbidden area. After setting, the robot will not enter the forbidden area when cleaning.
[Scheduled cleaning] Schedule a cleaning task, and the robot will start the cleaning task at the specified time.
[Partition editing] After the robot is automatically partitioned, the partitions can be edited manually, which can be merged, divided and named.",,False,http://info.inxni.com/PolicyAgreement/PrivacyPolicy.html,,
com.wero.robot,Wero M8 Max,Wero Teknoloji A.Ş.,7801663525907168556,,Everyone,"1,000+",,,,"Oct 18, 2021",,Varies with device,"Wero, he's very smart.
Wero M8 Max Robot Vacuum Cleaner is a very ideal robot vacuum for home use. Thanks to the app:
1. You can connect to your robot vacuum cleaner and vacuum or even mop your house anytime, anywhere.
2. You can clean certain areas thanks to the room or area selection.
3. Thanks to the scheduled cleaning feature, you can plan the cleaning time in advance.
4. You can control the dust collection unit and empty the dust container without getting your hands or the environment dirty.",,False,https://www.wero.tech/kullanim-ve-gizlilik-politikasi,,
com.groupeseb.aspirobot,Rowenta Robots,SEB,SEB,,Everyone,"500,000+",2.6666667,37531.0,7.0,,1762429975.0,9.5.1-RC1,"Tired of handling everyday chores ? Your Rowenta robots application will allow you to start the cleaning of your home wherever you are. Discover several features that enhance the experience and life expectancy of your product !

CONTROL THE CLEANING OF YOUR HOME : Launch a cleaning session directly from your phone : Your robot will explore and create a map of your home*. You will have fun watching the robot cleaning and cover the entirety of your house or a specific space.

PERSONALISE THE MAP OF YOUR HOME : After the first creation of the map by your robot vacuum cleaner, assign the rooms, determine which areas your robot needs to avoid. You can even create levels to draw your entire house.** 

ADAPT YOUR CLEANING : Change the suction speed of your robot according to the type of floor you have. Let the robot recognize and avoid the objects while cleaning thanks to artificial intelligence (AI).**

EXTEND THE LIFE EXPECTANCY OF YOUR ROBOT : Thanks to the maintenance feature, get advices on how to clean and replace the components of your product. You can also buy accessories directly from your app. 

SCHEDULE YOUR NEXT CLEANING SESSION : Forgot to pass the vacuum this weekend ? Your robot can be scheduled in advance to clean your home whenever you want. 

CHECK YOUR PREVIOUS CLEANING SESSIONS : Have a look at your robot’s history to see when it’s time to start cleaning again ! You will also know the duration of all your previous sessions.

*except Explorer Series 40, 45, 50, 60
**only for specific products",,False,http://legal.groupeseb.com/Core/FR/fr/DU.html#policies,,
com.ilife.iliferobot_784,SILVERCREST SSRA1,ILIFE,ILIFE,,Everyone,"50,000+",1.4545455,649.0,9.0,"Sep 5, 2018",,Varies with device,"App for SILVERCREST SSRA1:
     •Operate from anywhere
     •Choose cleaning modes
     •Define schedule for cleaning
     •Share robot with other users",,False,https://www.iliferobot.com/about.aspx?TypeId=141&FId=t1:141:1,,
com.CPZTApps.Robotvacuumcleaner,Robot Vacuum Cleaner,Strategimws,9011503915374651865,,Everyone,"10,000+",2.6666667,31.0,1.0,"Jul 8, 2023",1760366158.0,1.9.6.3,"We present to your attention a unique robot vacuum cleaner simulator!
You have a unique opportunity to get a great collection of realistic vacuum cleaner robots in your phone!
There are 5 unique types of vacuum cleaner robots and 5 unique locations available in the game!
Choose your favorite robot vacuum cleaner and go on an adventure!",,True,https://docs.google.com/document/d/1GZVhKLyvASKEjv4MkJqmlmLkmNA2d3jaU03hKQ3QZZw/edit?usp=sharing,,
com.robot.bsrobot_new,RVB SmartBot,Công Ty Cổ Phần Tara,C%C3%B4ng+Ty+C%E1%BB%95+Ph%E1%BA%A7n+Tara,,Everyone,100+,,,,"Sep 23, 2022",,Varies with device,"RVB SmartBot is a mobile phone application of connecting the TARA cleaner robotic products, which supports the robotic customization products with WIFI function under the TARA brand. It can not only replace the traditional remote controller , but also can present more working data that cannot be displayed by the conventional remote controller. Through the APP, the user can remotely control and reserve robots for cleaning while away from home, making you to enjoy smart life anytime, anywhere.",,False,https://www.bluestone.com.vn/pages/user-agreement-privacy-policy-rvb-9731,,
com.xiaomirobotvacuumx20guide.virstzorg,Xiaomi Robot Vacuum X20 Guide,Virstz ORG,Virstz+ORG,,Everyone,"5,000+",,,,"Aug 28, 2024",,Varies with device,"start your learning journey, download our mobile app and discover everything about how to charge xiaomi robot vacuum x20 and how to maintain the side brush on xiaomi robot vacuum x20.

xiaomi robot vacuum x20, start here with a quick overview a smart, high-performance robotic vacuum cleaner equipped with advanced navigation and cleaning technologies.

it offers powerful suction, multi-surface cleaning capabilities, and intelligent mapping to ensure thorough cleaning of your home.

its smart features, including app control and voice assistant compatibility, make it a convenient and effective solution for maintaining a clean living space.

thanks for installing our app. If you have any questions or suggestions, we'd love to hear from you at [firstgdv.organization@gmail.com].

Disclaimer: xiaomi robot vacuum x20 guide is an unofficial. This app is all about learning with friends. No worries about content here. We only use various reliable sources.
.
.",,True,https://firstorg.blogspot.com/2024/08/privacy-policy.html,,
com.lydsto.robotvacuum,Lydsto,广东一沐科技有限公司,%E5%B9%BF%E4%B8%9C%E4%B8%80%E6%B2%90%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,,Everyone,"100,000+",2.3137255,1493.0,39.0,"Nov 17, 2020",1725587949.0,2.0.1,"The Lydsto App is your home's intelligent hardware management platform. With the Lydsto App, you can complete the convenient and fast interaction between the mobile phone and the intelligent hardware, and realize the interconnection between the smart devices.
You and the smart life, only a distance from the Robot Cleaner App.
Linked control, easy to use
Quickly grasp the addition and operation of devices to achieve interoperability between smart devices.
Personalized customization, as you like
Set up a personalized smart scene according to your own usage habits
Device sharing, fun to pass
Sharing equipment for family and friends, sharing the fun of technology",,False,http://api.lydsto.cn/html/privacy/Lydsto_privacy_en.html,,
com.proscenic.smart.robot,Proscenic,"Shenzhen Ultenic Technology Co., Ltd.","Shenzhen+Ultenic+Technology+Co.,+Ltd.",,Everyone,"100,000+",2.4320989,2403.0,57.0,"Jan 30, 2021",1761009930.0,4.1.0,"""The Proscenic App is a mobile phone application that connects Proscenic smart products. You can control the functions of the product and monitor your product in real-time through the application. Here, you can control the product anytime and anywhere, and you can also streamline communication between smart devices. Intercommunication makes the product more portable and smart during use.

Linkage control, easy to use
We want you to experience a smarter and more portable lifestyle. The app is simple to operate and you can quickly add a variety of home appliances while performing linkage operations to interconnect smart devices.

Share your joy with just one-click 
We want to add more fun to your life. With simple one-click sharing, you can share your device with family and friends, manage it remotely, experience convenience, and enjoy the fun of science and technology together.

Connect to the Internet in no time
After connecting to your smart device, you can
(1) Start and pause your robot remotely
(2) View the cleaning map and understand the robot cleaning area
(3) Set the cleaning mode you want to track cleaning tasks

Download now and experience this house cleaning """"beast"""" by Proscenic.""",,False,https://appadmin-hk.proscenic.com/app-admin/privacypolicy/PrivacyPolicy.html,,
com.arcelik.robot,Robot Vacuum Cleaner,Arcelik A.Ş.,Arcelik+A.%C5%9E.,,Everyone,"50,000+",,,,"Jan 14, 2021",,Varies with device,"The Robot Vacuum Cleaner application is a mobile application that connects to your robot vacuum cleaner.

Instead of a classic remote control, the Robot Vacuum Cleaner application can be used to start/pause/stop cleaning and control all functions of the robot.

Mail address:  https://www.Arçelik.com.tr/",,False,http://note.youdao.com/s/KS3wC01h,,
com.sz.verefa.sweeprobot,Verefa Life,浙江弥乐科技有限公司,8190677645593795163,,Everyone,"5,000+",3.0,36.0,7.0,"Aug 29, 2022",1735886477.0,V2.1.8,"*Due to different model configurations, the function experience is different

[Scheduled cleaning]
Adapting to your schedule it can set time; the robot will start to perform the task when the time comes. 
[Sweep where you point]
In response to sudden cleaning conditions, click the location to be cleaned in the map, and the Robot Vacuum will go to the selected location to start spot cleaning. 
[Room partition]
For different home environments, you can set areas, sequence, and frequency of cleaning, and the Robot Vacuum will perform the task according to the settings. 
[Consumables and maintenance]
The cost of accessories is known at a glance, and the experience is better if they are replaced on time.",,False,https://qin.tuyacn.com/app-agreement/zh/1422985145/v1.0.1/1/smart/app/package/1422985145/privacyUrl_1631003863739.html,,
com.ultenic.robot,Ultenic,"Shenzhen Ultenic Technology Co., Ltd.","Shenzhen+Ultenic+Technology+Co.,+Ltd.",,Everyone,"100,000+",2.5,1502.0,30.0,"Apr 24, 2020",1760922775.0,4.1.1,"""With the Ultenic App, you can easily connect and control all of Ultenic smart products! 

You can control and monitor all intelligent functions of Ultenic product through the app anytime and even if you are not at home. 
The Ultenic App is configurable on any smartphone.

Connecting your mobile phone to Ultenic intelligent product has never been easier! The Ultenic App is simple to use and quickly configure all your appliances and have them communicate with each other in a smart way. You can live in a smarter lifestyle at your fingertips.

Have fun while your Ultenic app work for you!
Share your device with your family and friends.
You can control your Ultenic device even if you're not at home, even if you're on the other side of the world.

Connect your Ultenic app to your Wi-Fi network in no time!
After connecting to your Ultenic device, you can
(1) Remotely start and pause your device
(2) Monitor the cleaning status and view the cleaning maps
(3) Set the cleaning mode you want to tackle cleaning tasks",,False,https://www.ultenic.com/,,
